year,code,name,du_per_acre,far,hotel,source,notes
1975,gov-community,Government and Community Facilities,,,,sheet,"county/state/federal, hospitals, utilities, military, airports"
1975,svc-commercial,Service Commercial,,max 1.0 FAR,,sheet,generally 1-3 stories
1975,com-general,General Commercial,,,,sheet,generally max 7 stories
1975,svc-industry,Service Industry,,,,sheet,"wholesale, storage, light manufacturing"
1975,oah-low,Office-Apartment-Hotel Low,up to 90 du/ac apt,1.5 FAR office,up to 135 du/ac hotel,sheet,1975 sheet: 'no property is classified within this designation at present'
1975,oah-med,Office-Apartment-Hotel Medium,up to 115 du/ac apt,2.5 FAR office,up to 180 du/ac hotel,sheet,
1975,oah-high,Office-Apartment-Hotel High,up to 135 du/ac apt,3.5 FAR office,up to 210 du/ac hotel,sheet,
1979,res-low-1-10,Residential Low (1-10 u/ac),1-10 du/ac,,,sheet,
1979,res-low-11-15,Residential Low (11-15 u/ac),11-15 du/ac,,,sheet,
1979,res-lowmed,Residential Low Medium (16-30),16-30 du/ac,,,sheet,
1979,res-med,Residential Medium (31-72),31-72 du/ac,,,sheet,
1979,res-highmed,Residential High Medium (73-90),73-90 du/ac apt,,72-135 du/ac hotel,sheet,
1979,res-high,Residential High (91-135),91-135 du/ac apt,,136-210 du/ac hotel,sheet,
1979,public,Public,,,,sheet,"parks, public schools, parkways, libraries"
1979,semi-public,Semi-Public,,,,sheet,"country clubs, churches, private schools/cemeteries"
1979,gov-community,Government and Community Facilities,,,,sheet,"county/state/federal, hospitals, utilities, military, airports"
1979,svc-commercial,Service Commercial,,max 1.0 FAR,,sheet,generally 1-3 stories
1979,com-general,General Commercial,,,,sheet,generally max 7 stories
1979,svc-industry,Service Industry,,,,sheet,"wholesale, storage, light manufacturing"
1979,oah-low,Office-Apartment-Hotel Low,up to 72 du/ac apt,1.5 FAR office,up to 135 du/ac hotel,sheet,apt cap reduced from 90 (1975)
1979,oah-med,Office-Apartment-Hotel Medium,up to 115 du/ac apt,2.5 FAR office,up to 180 du/ac hotel,sheet,
1979,oah-high,Office-Apartment-Hotel High,up to 135 du/ac apt,3.5 FAR office,up to 210 du/ac hotel,sheet,
1983,res-low-1-10,Residential Low (1-10 u/ac),1-10 du/ac,,,sheet,
1983,res-low-11-15,Residential Low (11-15 u/ac),11-15 du/ac,,,sheet,
1983,res-lowmed,Residential Low Medium (16-30),16-30 du/ac,,,sheet,
1983,res-med,Residential Medium (31-72),31-72 du/ac,,,sheet,
1983,res-highmed,Residential High Medium (3.24 FAR),,3.24 FAR residential,72-135 du/ac hotel,sheet,changed from 73-90 du/ac (1979); striped mu-highmed variant (max 3.24 FAR incl office/retail) printed but chromatically inseparable - counted here
1983,res-high,Residential High (91-135),91-135 du/ac apt,,136-210 du/ac hotel,sheet,
1983,public,Public,,,,sheet,"parks, public schools, parkways, libraries"
1983,semi-public,Semi-Public,,,,sheet,"country clubs, churches, private schools/cemeteries"
1983,gov-community,Government and Community Facilities,,,,sheet,"county/state/federal, hospitals, utilities, military, airports"
1983,svc-commercial,Service Commercial,,max 1.0 FAR,,sheet,generally 1-3 stories
1983,com-general,General Commercial,,,,sheet,generally max 7 stories; striped mu-med variant printed but chromatically inseparable - counted here
1983,svc-industry,Service Industry,,,,sheet,"wholesale, storage, light manufacturing"
1983,oah-low,Office-Apartment-Hotel Low,up to 72 du/ac apt,1.5 FAR office,up to 135 du/ac hotel,sheet,apt cap reduced from 90 (1975)
1983,oah-med,Office-Apartment-Hotel Medium,up to 115 du/ac apt,2.5 FAR office,up to 180 du/ac hotel,sheet,
1983,oah-high,Office-Apartment-Hotel High,up to 135 du/ac apt,3.5 FAR office,up to 210 du/ac hotel,sheet,
1987,res-low-1-10,Residential Low (1-10 u/ac),1-10 du/ac,,,sheet,
1987,res-low-11-15,Residential Low (11-15 u/ac),11-15 du/ac,,,sheet,
1987,res-lowmed,Residential Low-Medium (16-36 u/ac),16-36 du/ac,,,sheet,upper bound raised from 30 (1983)
